Year,Month,Production,Year_part,Month_part,Oil Production - Multiplicative Decompose,Oil Production - Additive Decompose
2010,January,167529,2010,1,167529,167529
2010,February,155496,2010,2,155496,155496
2010,March,170976,2010,3,170976,170976
2010,April,161769,2010,4,161769,161769
2010,May,167427,2010,5,167427,167427
2010,June,161385,2010,6,161385,161385
2010,July,164234,2010,7,164234,164234
2010,August,168867,2010,8,168867,168867
2010,September,168473,2010,9,168473,168473
2010,October,174547,2010,10,174547,174547
2010,November,167272,2010,11,167272,167272
2010,December,173831,2010,12,173831,173831
2011,January,170393,2011,1,170393,170393
2011,February,151354,2011,2,151354,151354
2011,March,174158,2011,3,174158,174158
2011,April,166858,2011,4,166858,166858
2011,May,174363,2011,5,174363,174363
2011,June,167673,2011,6,167673,167673
2011,July,168635,2011,7,168635,168635
2011,August,175618,2011,8,175618,175618
2011,September,168411,2011,9,168411,168411
2011,October,182977,2011,10,182977,182977
2011,November,181157,2011,11,181157,181157
2011,December,189487,2011,12,189487,189487
2012,January,191472,2012,1,191472,191472
2012,February,181783,2012,2,181783,181783
2012,March,196138,2012,3,196138,196138
2012,April,189601,2012,4,189601,189601
2012,May,197456,2012,5,197456,197456
2012,June,188262,2012,6,188262,188262
2012,July,199368,2012,7,199368,199368
2012,August,196867,2012,8,196867,196867
2012,September,197942,2012,9,197942,197942
2012,October,216057,2012,10,216057,216057
2012,November,212472,2012,11,212472,212472
2012,December,220282,2012,12,220282,220282
2013,January,219570,2013,1,219570,219570
2013,February,200071,2013,2,200071,200071
2013,March,223644,2013,3,223644,223644
2013,April,221205,2013,4,221205,221205
2013,May,227101,2013,5,227101,227101
2013,June,218314,2013,6,218314,218314
2013,July,233174,2013,7,233174,233174
2013,August,233562,2013,8,233562,233562
2013,September,235142,2013,9,235142,235142
2013,October,240567,2013,10,240567,240567
2013,November,237565,2013,11,237565,237565
2013,December,245904,2013,12,245904,245904
2014,January,250240,2014,1,250240,250240
2014,February,228166,2014,2,228166,228166
2014,March,257019,2014,3,257019,257019
2014,April,255597,2014,4,255597,255597
2014,May,267731,2014,5,267731,267731
2014,June,262026,2014,6,262026,262026
2014,July,273952,2014,7,273952,273952
2014,August,276513,2014,8,276513,276513
2014,September,272111,2014,9,272111,272111
2014,October,286760,2014,10,286760,286760
2014,November,279200,2014,11,279200,279200
2014,December,295914,2014,12,295914,295914
2015,January,290631,2015,1,290631,290631
2015,February,265886,2015,2,265886,265886
2015,March,296825,2015,3,296825,296825
2015,April,289449,2015,4,289449,289449
2015,May,293362,2015,5,293362,293362
2015,June,280425,2015,6,280425,280425
2015,July,292432,2015,7,292432,292432
2015,August,291333,2015,8,291333,291333
2015,September,284079,2015,9,284079,284079
2015,October,291157,2015,10,291157,291157
2015,November,279779,2015,11,279779,279779
2015,December,287309,2015,12,287309,287309
2016,January,285322,2016,1,285322,285322
2016,February,262843,2016,2,262843,262843
2016,March,282290,2016,3,282290,282290
2016,April,266327,2016,4,266327,266327
2016,May,273959,2016,5,273959,273959
2016,June,260338,2016,6,260338,260338
2016,July,268667,2016,7,268667,268667
2016,August,269463,2016,8,269463,269463
2016,September,256351,2016,9,256351,256351
2016,October,273009,2016,10,273009,273009
2016,November,267184,2016,11,267184,267184
2016,December,273366,2016,12,273366,273366
2017,January,275075,2017,1,275075,275075
2017,February,255099,2017,2,255099,255099
2017,March,284185,2017,3,284185,284185
2017,April,273051,2017,4,273051,273051
2017,May,284812,2017,5,284812,284812
2017,June,273338,2017,6,273338,273338
2017,July,286663,2017,7,286663,286663
2017,August,286690,2017,8,286690,286690
2017,September,285423,2017,9,285423,285423
2017,October,299707,2017,10,299707,299707
2017,November,302592,2017,11,302592,302592
2017,December,309612,2017,12,309612,309612
2018,January,310059,2018,1,310059,310059
2018,February,287865,2018,2,287865,287865
2018,March,324478,2018,3,324478,324478
2018,April,314838,2018,4,314838,314838
2018,May,323388,2018,5,323388,323388
2018,June,319207,2018,6,319207,319207
2018,July,337928,2018,7,337928,337928
2018,August,353226,2018,8,353226,353226
2018,September,343383,2018,9,343383,343383
2018,October,356986,2018,10,356986,356986
2018,November,357328,2018,11,357328,357328
2018,December,371522,2018,12,371522,371522
2019,January,368054,2019,1,368054,368054
2019,February,326819,2019,2,326819,326819
2019,March,369203,2019,3,369203,369203
2019,April,364293,2019,4,364293,364293
2019,May,376738,2019,5,376738,376738
2019,June,366642,2019,6,366642,366642
2019,July,368952,2019,7,368952,368952
2019,August,387024,2019,8,387024,387024
2019,September,377681,2019,9,377681,377681
2019,October,396984,2019,10,396984,396984
2019,November,389809,2019,11,389809,389809
2019,December,402393,2019,12,402393,402393
2020,January,398392,2020,1,398392,398392
2020,February,372480,2020,2,372480,372480
2020,March,396682,2020,3,396682,396682
2020,April,357336,2020,4,357336,357336
2020,May,301133,2020,5,301133,301133
2020,June,313381,2020,6,313381,313381
2020,July,341244,2020,7,341244,341244
2020,August,328128,2020,8,328128,328128
2020,September,328025,2020,9,328025,328025
2020,October,324544,2020,10,324544,324544
2020,November,336286,2020,11,336286,336286
2020,December,346553,2020,12,346553,346553
2021,January,345713,2021,1,345713,345713
2021,February,278271,2021,2,278271,278271
2021,March,352545,2021,3,352545,352545
2021,April,340585,2021,4,340585,340585
2021,May,354103,2021,5,354103,354103
2021,June,341813,2021,6,341813,341813
2021,July,353905,2021,7,353905,353905
2021,August,350736,2021,8,350736,350736
2021,September,328715,2021,9,328715,328715
2021,October,360746,2021,10,360746,360746
2021,November,356024,2021,11,356024,356024
2021,December,364322,2021,12,364322,364322
2022,January,354716,2022,1,354716,354716
2022,February,321080,2022,2,321080,321080
2022,March,368134,2022,3,368134,368134
2022,April,354365,2022,4,354365,354365
2022,May,363992,2022,5,363992,363992
2022,June,357385,2022,6,357385,357385
2022,July,371739,2022,7,371739,371739
2022,August,375798,2022,8,375798,375798
2022,September,373159,2022,9,373159,373159
2022,October,385369,2022,10,385369,385369
2022,November,374003,2022,11,374003,374003
2022,December,377429,2022,12,377429,377429
2023,January,390928,2023,1,390928,390928
2023,February,352534,2023,2,352534,352534
2023,March,397280,2023,3,397280,397280
2023,April,380410,2023,4,380410,380410
2023,May,394619,2023,5,394619,394619
2023,June,385967,2023,6,385967,385967
2023,July,400994,2023,7,400994,400994
2023,August,404469,2023,8,404469,404469
2023,September,395300,2023,9,395300,395300
2023,October,407615,2023,10,407615,407615
2023,November,398433,2023,11,398433,398433
2023,December,412547,2023,12,412547,412547
2024,January,389161,2024,1,389161,389161
2024,February,379960,2024,2,379960,379960
2024,March,408294,2024,3,408294,408294
2024,April,397459,2024,4,397459,397459
2024,May,409235,2024,5,409235,409235
2024,June,397196,2024,6,397196,397196
2024,July,408950,2024,7,408950,408950
2024,August,414270,2024,8,414270,414270
2024,September,395541,2024,9,395541,395541
2024,October,416953,2024,10,416953,416953
2024,November,400561,2024,11,400561,400561
2024,December,416988,2024,12,416988,416988
2025,January,407537,2025,1,407537,407537
